,Airline,Source,Destination,Total_Stops,Day,Month,Year,Dept_Hour,Dept_Minute,Arr_Hour,Arr_Minute,hoursMinutes,Price
0,IndiGo,Banglore,Delhi,non-stop,24,3,2019,20,20,1,10,170,3897
3,IndiGo,Kolkata,Banglore,1 stop,12,5,2019,5,5,23,30,325,6218
11,IndiGo,Kolkata,Banglore,non-stop,18,4,2019,20,20,22,55,155,4174
14,IndiGo,Kolkata,Banglore,non-stop,24,4,2019,15,15,19,50,155,4804
22,IndiGo,Banglore,Delhi,non-stop,3,4,2019,0,0,6,50,170,3943
23,IndiGo,Banglore,Delhi,non-stop,1,5,2019,55,55,21,50,175,4823
26,IndiGo,Delhi,Cochin,1 stop,1,6,2019,50,50,3,35,345,8238
32,IndiGo,Banglore,Delhi,non-stop,6,4,2019,0,0,6,50,170,4423
35,IndiGo,Delhi,Cochin,1 stop,27,6,2019,35,35,21,0,625,5894
46,IndiGo,Banglore,Delhi,non-stop,27,5,2019,0,0,6,50,170,3943
52,IndiGo,Banglore,Delhi,non-stop,24,3,2019,20,20,1,10,170,4377
53,IndiGo,Banglore,Delhi,non-stop,18,6,2019,15,15,0,15,180,3943
63,IndiGo,Delhi,Cochin,1 stop,15,5,2019,0,0,1,30,630,7191
65,IndiGo,Delhi,Cochin,1 stop,24,6,2019,35,35,21,0,625,5894
69,IndiGo,Chennai,Kolkata,non-stop,12,3,2019,20,20,15,35,135,6297
74,IndiGo,Delhi,Cochin,1 stop,21,3,2019,5,5,10,5,300,6893
77,IndiGo,Mumbai,Hyderabad,non-stop,3,4,2019,25,25,7,55,90,4049
83,IndiGo,Delhi,Cochin,1 stop,27,6,2019,25,25,21,0,575,5894
86,IndiGo,Delhi,Cochin,1 stop,24,6,2019,0,0,7,25,325,5636
95,IndiGo,Chennai,Kolkata,non-stop,21,6,2019,15,15,7,40,145,3540
111,IndiGo,Banglore,Delhi,non-stop,12,4,2019,55,55,21,50,175,5780
124,IndiGo,Chennai,Kolkata,non-stop,12,5,2019,15,15,7,40,145,3540
128,IndiGo,Banglore,Delhi,non-stop,24,6,2019,0,0,6,50,170,3943
129,IndiGo,Chennai,Kolkata,non-stop,3,6,2019,45,45,17,5,140,3597
133,IndiGo,Kolkata,Banglore,non-stop,15,6,2019,25,25,23,10,165,4804
142,IndiGo,Delhi,Cochin,1 stop,15,6,2019,0,0,7,25,325,5636
143,IndiGo,Delhi,Cochin,1 stop,9,6,2019,35,35,16,10,515,6442
148,IndiGo,Delhi,Cochin,1 stop,24,6,2019,10,10,20,0,290,6147
157,IndiGo,Banglore,Delhi,non-stop,3,3,2019,55,55,21,45,170,8855
161,IndiGo,Banglore,Delhi,non-stop,24,3,2019,40,40,3,25,165,4777
163,IndiGo,Delhi,Cochin,1 stop,9,5,2019,50,50,16,10,560,6442
169,IndiGo,Banglore,Delhi,non-stop,27,5,2019,30,30,4,15,165,3419
176,IndiGo,Delhi,Cochin,1 stop,3,4,2019,25,25,1,30,305,5073
184,IndiGo,Chennai,Kolkata,non-stop,12,5,2019,45,45,17,5,140,3858
186,IndiGo,Delhi,Cochin,1 stop,27,6,2019,50,50,3,35,345,5775
188,IndiGo,Kolkata,Banglore,non-stop,3,6,2019,30,30,18,5,155,4804
190,IndiGo,Banglore,Delhi,1 stop,3,3,2019,10,10,17,5,295,8738
192,IndiGo,Delhi,Cochin,1 stop,24,6,2019,10,10,22,30,380,6412
202,IndiGo,Delhi,Cochin,non-stop,24,4,2019,35,35,8,50,195,5013
206,IndiGo,Delhi,Cochin,1 stop,27,3,2019,0,0,1,35,575,7048
210,IndiGo,Banglore,Delhi,non-stop,12,5,2019,30,30,3,25,175,3943
214,IndiGo,Delhi,Cochin,1 stop,1,6,2019,10,10,10,5,295,6842
217,IndiGo,Banglore,Delhi,non-stop,1,6,2019,30,30,4,15,165,4077
227,IndiGo,Banglore,Delhi,non-stop,27,4,2019,30,30,2,20,170,3943
234,IndiGo,Delhi,Cochin,1 stop,1,5,2019,50,50,3,35,345,6349
238,IndiGo,Banglore,Delhi,non-stop,15,3,2019,25,25,21,20,175,8855
245,IndiGo,Banglore,Delhi,non-stop,24,4,2019,30,30,2,20,170,3943
247,IndiGo,Delhi,Cochin,1 stop,15,5,2019,35,35,21,0,625,6979
260,IndiGo,Banglore,Delhi,non-stop,3,6,2019,10,10,1,0,170,3359
262,IndiGo,Kolkata,Banglore,non-stop,18,3,2019,35,35,12,20,165,4462
263,IndiGo,Delhi,Cochin,1 stop,9,3,2019,55,55,16,10,675,6171
266,IndiGo,Delhi,Cochin,1 stop,24,6,2019,25,25,1,30,845,5684
275,IndiGo,Mumbai,Hyderabad,non-stop,15,3,2019,20,20,22,45,85,2754
279,IndiGo,Delhi,Cochin,non-stop,24,6,2019,35,35,8,50,195,5000
284,IndiGo,Kolkata,Banglore,non-stop,6,5,2019,25,25,0,5,160,4804
286,IndiGo,Banglore,Delhi,non-stop,12,5,2019,55,55,19,55,180,4823
294,IndiGo,Kolkata,Banglore,non-stop,18,5,2019,25,25,0,5,160,4804
300,IndiGo,Mumbai,Hyderabad,non-stop,3,5,2019,35,35,4,5,90,2754
304,IndiGo,Delhi,Cochin,2 stops,9,3,2019,40,40,21,20,880,8146
314,IndiGo,Chennai,Kolkata,non-stop,6,3,2019,20,20,15,35,135,7295
319,IndiGo,Kolkata,Banglore,non-stop,15,3,2019,20,20,17,55,155,4148
328,IndiGo,Banglore,Delhi,non-stop,24,3,2019,25,25,21,20,175,7303
331,IndiGo,Delhi,Cochin,1 stop,21,3,2019,20,20,22,20,480,6528
333,IndiGo,Kolkata,Banglore,non-stop,12,3,2019,25,25,23,5,160,4148
345,IndiGo,Kolkata,Banglore,non-stop,6,6,2019,15,15,0,50,155,4804
351,IndiGo,Delhi,Cochin,1 stop,15,5,2019,10,10,10,5,295,6496
352,IndiGo,Kolkata,Banglore,non-stop,15,6,2019,25,25,0,5,160,4804
355,IndiGo,Banglore,Delhi,non-stop,1,6,2019,30,30,2,20,170,4591
356,IndiGo,Banglore,Delhi,1 stop,18,3,2019,15,15,20,35,260,4437
367,IndiGo,Chennai,Kolkata,non-stop,3,3,2019,40,40,17,5,145,7295
369,IndiGo,Banglore,Delhi,non-stop,9,3,2019,25,25,21,20,175,6860
372,IndiGo,Banglore,Delhi,non-stop,9,4,2019,0,0,22,50,170,4823
374,IndiGo,Mumbai,Hyderabad,non-stop,3,6,2019,5,5,20,35,90,2754
382,IndiGo,Banglore,Delhi,non-stop,9,4,2019,55,55,19,55,180,4823
388,IndiGo,Kolkata,Banglore,non-stop,18,5,2019,15,15,0,50,155,4804
397,IndiGo,Chennai,Kolkata,non-stop,3,6,2019,35,35,21,55,140,3597
407,IndiGo,Banglore,Delhi,non-stop,18,4,2019,30,30,2,20,170,4591
414,IndiGo,Banglore,Delhi,non-stop,18,5,2019,10,10,13,0,170,3943
420,IndiGo,Delhi,Cochin,1 stop,15,5,2019,50,50,16,10,560,6442
423,IndiGo,Banglore,Delhi,non-stop,12,4,2019,30,30,2,20,170,6906
442,IndiGo,Delhi,Cochin,1 stop,18,5,2019,50,50,12,10,320,6347
445,IndiGo,Banglore,Delhi,non-stop,6,4,2019,25,25,21,20,175,4823
454,IndiGo,Delhi,Cochin,1 stop,6,6,2019,5,5,12,10,425,6818
457,IndiGo,Chennai,Kolkata,non-stop,27,6,2019,35,35,14,0,145,3858
458,IndiGo,Kolkata,Banglore,1 stop,18,5,2019,0,0,2,15,315,6534
463,IndiGo,Banglore,Delhi,non-stop,9,3,2019,0,0,8,45,165,7648
466,IndiGo,Kolkata,Banglore,non-stop,6,3,2019,15,15,19,55,160,5618
472,IndiGo,Delhi,Cochin,1 stop,24,6,2019,0,0,1,30,570,6316
485,IndiGo,Chennai,Kolkata,non-stop,6,3,2019,15,15,7,35,140,6482
487,IndiGo,Kolkata,Banglore,1 stop,18,5,2019,20,20,23,45,265,3717
488,IndiGo,Chennai,Kolkata,non-stop,1,6,2019,15,15,15,35,140,3597
493,IndiGo,Delhi,Cochin,1 stop,6,6,2019,35,35,22,30,835,6442
500,IndiGo,Banglore,Delhi,non-stop,9,6,2019,10,10,10,5,175,4823
501,IndiGo,Mumbai,Hyderabad,non-stop,27,3,2019,5,5,21,35,90,2227
507,IndiGo,Chennai,Kolkata,non-stop,9,5,2019,15,15,7,40,145,3540
519,IndiGo,Banglore,Delhi,non-stop,27,4,2019,0,0,6,50,170,4423
520,IndiGo,Delhi,Cochin,2 stops,3,3,2019,55,55,21,20,985,8899
539,IndiGo,Kolkata,Banglore,non-stop,1,4,2019,40,40,7,15,155,4174
540,IndiGo,Kolkata,Banglore,1 stop,18,5,2019,35,35,22,15,280,5699
545,IndiGo,Mumbai,Hyderabad,non-stop,9,3,2019,20,20,7,45,85,4392
550,IndiGo,Delhi,Cochin,1 stop,24,4,2019,35,35,12,10,275,5073
561,IndiGo,Kolkata,Banglore,non-stop,12,4,2019,20,20,22,55,155,4488
568,IndiGo,Kolkata,Banglore,non-stop,21,6,2019,20,20,22,55,155,4804
574,IndiGo,Delhi,Cochin,1 stop,27,5,2019,5,5,12,10,425,6600
585,IndiGo,Delhi,Cochin,1 stop,15,6,2019,35,35,16,10,455,6442
595,IndiGo,Chennai,Kolkata,non-stop,21,5,2019,35,35,21,55,140,3597
616,IndiGo,Kolkata,Banglore,non-stop,27,5,2019,20,20,22,55,155,4804
624,IndiGo,Delhi,Cochin,1 stop,6,3,2019,20,20,22,20,480,7451
631,IndiGo,Kolkata,Banglore,non-stop,6,5,2019,15,15,19,50,155,4804
635,IndiGo,Mumbai,Hyderabad,non-stop,3,3,2019,20,20,22,45,85,4784
645,IndiGo,Banglore,Delhi,non-stop,24,5,2019,0,0,22,50,170,4823
648,IndiGo,Mumbai,Hyderabad,non-stop,21,6,2019,25,25,7,55,90,4049
650,IndiGo,Kolkata,Banglore,1 stop,9,4,2019,55,55,23,50,235,4226
654,IndiGo,Mumbai,Hyderabad,non-stop,9,6,2019,0,0,13,30,90,2754
669,IndiGo,Mumbai,Hyderabad,non-stop,12,6,2019,10,10,10,40,90,4049
675,IndiGo,Kolkata,Banglore,1 stop,18,5,2019,10,10,13,0,290,5279
679,IndiGo,Chennai,Kolkata,non-stop,3,5,2019,15,15,15,35,140,3597
681,IndiGo,Delhi,Cochin,1 stop,15,5,2019,5,5,22,15,310,6027
684,IndiGo,Banglore,Delhi,non-stop,27,5,2019,15,15,0,15,180,3943
686,IndiGo,Chennai,Kolkata,non-stop,15,3,2019,15,15,7,35,140,4326
689,IndiGo,Banglore,Delhi,non-stop,18,6,2019,25,25,21,20,175,4823
693,IndiGo,Banglore,Delhi,1 stop,3,3,2019,25,25,10,10,285,7774
695,IndiGo,Delhi,Cochin,1 stop,27,5,2019,35,35,16,10,515,7514
697,IndiGo,Chennai,Kolkata,non-stop,18,3,2019,20,20,15,35,135,3858
703,IndiGo,Kolkata,Banglore,non-stop,24,3,2019,25,25,23,5,160,8872
710,IndiGo,Delhi,Cochin,1 stop,1,6,2019,30,30,21,0,810,6416
714,IndiGo,Kolkata,Banglore,non-stop,18,3,2019,30,30,8,20,170,4462
715,IndiGo,Delhi,Cochin,1 stop,1,4,2019,35,35,12,10,275,5073
716,IndiGo,Chennai,Kolkata,non-stop,27,3,2019,15,15,7,35,140,4326
718,IndiGo,Mumbai,Hyderabad,non-stop,12,6,2019,55,55,18,25,90,3175
722,IndiGo,Kolkata,Banglore,1 stop,18,5,2019,20,20,10,20,240,4226
724,IndiGo,Delhi,Cochin,1 stop,15,5,2019,0,0,7,25,325,8618
725,IndiGo,Kolkata,Banglore,non-stop,18,4,2019,15,15,19,50,155,4174
729,IndiGo,Mumbai,Hyderabad,1 stop,6,3,2019,45,45,23,0,435,7681
735,IndiGo,Kolkata,Banglore,1 stop,9,5,2019,10,10,13,0,290,5069
745,IndiGo,Banglore,Delhi,non-stop,9,3,2019,20,20,0,15,175,6144
748,IndiGo,Delhi,Cochin,1 stop,15,5,2019,35,35,1,30,895,6979
750,IndiGo,Delhi,Cochin,1 stop,1,6,2019,15,15,1,30,975,7048
752,IndiGo,Delhi,Cochin,1 stop,27,5,2019,0,0,21,0,300,5054
755,IndiGo,Delhi,Cochin,1 stop,27,4,2019,35,35,16,10,515,6442
759,IndiGo,Banglore,Delhi,non-stop,24,6,2019,0,0,15,50,170,3943
764,IndiGo,Banglore,Delhi,non-stop,9,4,2019,10,10,13,0,170,4423
775,IndiGo,Chennai,Kolkata,non-stop,15,5,2019,15,15,7,40,145,3540
783,IndiGo,Delhi,Cochin,1 stop,1,6,2019,10,10,22,30,380,6938
788,IndiGo,Chennai,Kolkata,non-stop,15,5,2019,45,45,17,5,140,3597
795,IndiGo,Banglore,Delhi,1 stop,1,3,2019,55,55,21,50,295,8153
801,IndiGo,Banglore,Delhi,non-stop,1,6,2019,10,10,1,0,170,3419
809,IndiGo,Chennai,Kolkata,non-stop,3,3,2019,5,5,0,25,140,5277
811,IndiGo,Delhi,Cochin,1 stop,15,5,2019,20,20,22,30,490,6412
814,IndiGo,Banglore,Delhi,non-stop,18,6,2019,30,30,4,15,165,3419
815,IndiGo,Banglore,Delhi,non-stop,6,4,2019,10,10,1,0,170,3943
834,IndiGo,Kolkata,Banglore,non-stop,9,3,2019,30,30,8,20,170,4148
843,IndiGo,Banglore,Delhi,non-stop,9,5,2019,30,30,2,20,170,3943
847,IndiGo,Banglore,Delhi,non-stop,18,6,2019,30,30,8,20,170,3943
851,IndiGo,Delhi,Cochin,1 stop,9,5,2019,35,35,1,30,415,8542
852,IndiGo,Kolkata,Banglore,non-stop,24,5,2019,35,35,12,20,165,4804
853,IndiGo,Kolkata,Banglore,1 stop,6,6,2019,0,0,2,15,315,6711
